projectid	tagpriority	tagadj	instrument	coordstype	target	ra2000	dec2000	timeest	remaining
F26AP007	500	0	UU	PLANET	venus	NULL	NULL	514	71
M26AP015	203	0	AWEOWEO	RADEC	CrA-IRS2	4.98147729947248	-0.645431968847444	2774.8076581307196	16
M26AP015	203	0	UU	RADEC	CrA-IRS2	4.98147729947248	-0.645431968847444	2801.1281424792733	0
M26AP015	203	0	AWEOWEO	RADEC	L1521F	1.17230129753851	0.468790588948866	2774.8076581307196	6
M26AP015	203	0	UU	RADEC	L1521F	1.17230129753851	0.468790588948866	2894.3301492640003	2
M26AP024	189	0	UU	RADEC	IRAS 16544-1604	4.43834319900071	-0.281401859367451	2500.0059475225466	-3
M26AP024	189	0	UU	RADEC	IRAS 16544-1604	4.43834319900071	-0.281401859367451	2500.0059475225466	0
M26AP024	189	0	UU	RADEC	IRAS 04169+2702	1.13413676456157	0.474133720528374	1924.0231115483157	7
M26AP024	189	0	UU	RADEC	IRAS 04169+2702	1.13413676456157	0.474133720528374	1651.5381117315217	9
M26AP024	189	0	UU	RADEC	IRAS 16544-1604	4.43834319900071	-0.281401859367451	2500.0059475225466	0
M26AP024	189	0	UU	RADEC	IRAS 16544-1604	4.43834319900071	-0.281401859367451	2500.0059475225466	0
M26BP012	257	0	KUNTUR	RADEC	VLA 1623	4.30393684774567	-0.425840363162955	1712.6206806346654	23
M26BP012	257	0	KUNTUR	RADEC	L1157-mm	5.40682640093237	1.18727079260739	1154.1819191062696	16
M26BP012	257	0	KUNTUR	RADEC	L1448	0.897134869330647	0.536796373625463	2546.059756777451	15
M26BP013	244	0	AWEOWEO	RADEC	AFGL961	1.72189391618523	0.0735181162308123	1766.2994551998313	3
M26BP013	244	0	AWEOWEO	RADEC	mon R2	1.60479970394688	-0.111325826338458	1860.4574023397372	3
M26BP013	244	0	AWEOWEO	RADEC	NGC6334	4.54168574389645	-0.630608984472993	2542.93089086123	6
M26BP013	244	0	AWEOWEO	RADEC	NGC6611-N	4.79425655783157	-0.2397728478253	2634.85	3
M26BP013	244	0	AWEOWEO	RADEC	NGC6611-S	4.79449508616268	-0.24153369111509	2690.301095702543	5
M26BP013	244	0	AWEOWEO	RADEC	NGC6357	4.55853820682139	-0.596954964059621	2319.8500000000004	5
M26BP013	244	0	AWEOWEO	RADEC	AFGL5180	1.60963993829497	0.3776924014205	2634.85	3
M26BP013	244	0	AWEOWEO	RADEC	IC446	1.7065342188251	0.182145324176111	2634.85	3
M26BP013	244	0	AWEOWEO	RADEC	IC447	1.70676838383308	0.173406024279062	2634.85	3
M26BP014	304	0	AWEOWEO	RADEC	M16 Spire	4.79587469621433	-0.240082789211633	4611.6638445595645	17
M26BP016	282	0	UU	RADEC	EC2	0.735838084846026	1.02057206864374	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G16.3-0.3	4.8062290577234	-0.260039115383226	4772.400000000001	0
M26BP016	282	0	UU	RADEC	G145.21-0.39l	0.949202404240768	0.962193665565251	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G146.06-1.65l	0.947555249759198	0.935657291766985	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G104.98+3.31l	5.82924771257203	1.05844600430023	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G109.29+2.08l	5.98631716416422	1.07774604909425	4772.400000000001	0
M26BP016	282	0	UU	RADEC	G109.79+2.71l	5.99278869958651	1.09143423008533	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G114.34+0.79l	6.17938694046087	1.08901219789725	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G122.77+2.52l	0.217682554852384	1.14141614502069	4772.400000000001	0
M26BP016	282	0	UU	RADEC	G137.77-0.97l	0.736174060727035	1.02075581302888	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G137.78-1.07l	0.735096319913928	1.01910885247279	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G116.72+3.54l	6.24225588177928	1.14622719358518	4772.400000000001	0
M26BP016	282	0	UU	RADEC	G117.58+3.95l	6.274119048936	1.15651411571507	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G121.81+3.05l	0.176612775891393	1.15019970840682	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G137.29-1.16l	0.719232004233821	1.02124028734042	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G137.62-1.23l	0.728066279131	1.01781696945673	4772.400000000001	1
M26BP016	282	0	UU	RADEC	G139.12-1.47l	0.768389929836764	1.0023031255867	4772.400000000001	0
M26BP016	282	0	UU	RADEC	G131.16+1.39l	0.546100432979636	1.10094346258935	4772.400000000001	0
M26BP018	235	0	UU	RADEC	G4.713-0.812	4.71040468646928	-0.441441570458323	5751.341607254242	0
M26BP018	235	0	UU	RADEC	G4.846-0.815	4.71173137522049	-0.439454098445372	3817.853503354273	3
M26BP018	235	0	UU	RADEC	G4.534-0.808	4.7086263414056	-0.444121324751151	3943.5638959045014	2
